fold,Logistic Regression,XGBoost,TensorFlow NN,PyTorch NN
0,0.8117559523809523,0.8288690476190477,0.8069196428571429,0.562686011904762
1,0.8266369047619049,0.7808779761904763,0.7388392857142857,0.7959449404761905
2,0.7641369047619048,0.8002232142857143,0.7403273809523809,0.7579985119047619
3,0.6675967261904762,0.7075892857142857,0.7055431547619048,0.6834077380952381
4,0.7725074404761904,0.8082217261904762,0.7490699404761905,0.7678571428571429
