seed,framework,test_auc,epochs,final_val_loss,train_seconds
1,TensorFlow,0.7552380952380952,50,0.5664834380149841,5.424907428999973
1,PyTorch,0.7914285714285715,36,0.6222260594367981,0.42031946600002357
2,TensorFlow,0.7686904761904761,40,0.5749465823173523,4.3654188010000325
2,PyTorch,0.7726190476190476,36,0.6287822723388672,0.4224565499999926
3,TensorFlow,0.4905952380952381,9,0.6597116589546204,1.798535238999989
3,PyTorch,0.7848809523809523,35,0.6213927865028381,0.41364358800001355
4,TensorFlow,0.7445238095238096,50,0.5707124471664429,6.46164725999995
4,PyTorch,0.7960714285714284,40,0.6216099858283997,1.450247246999993
5,TensorFlow,0.7889285714285714,31,0.5682188272476196,3.6494544949999863
5,PyTorch,0.7847619047619048,37,0.61733078956604,0.45360149399994043
6,TensorFlow,0.7715476190476191,42,0.5661069750785828,5.195292015999939
6,PyTorch,0.8052380952380953,50,0.5917691588401794,0.585224892000042
7,TensorFlow,0.7541666666666667,37,0.5719807744026184,4.60758070199995
7,PyTorch,0.7760714285714286,40,0.6301963925361633,0.4531610259999752
8,TensorFlow,0.755595238095238,31,0.5877310037612915,4.159101779000025
8,PyTorch,0.7626190476190476,34,0.6156409978866577,0.40404445299998315
9,TensorFlow,0.7629761904761905,39,0.5837984085083008,7.837678394000022
9,PyTorch,0.7982142857142858,38,0.6116417646408081,0.43011845500006984
10,TensorFlow,0.7891666666666667,50,0.5508164167404175,5.617684123000004
10,PyTorch,0.7801190476190476,31,0.6240502595901489,0.36928200099998776
